bbl,parent_property_id,gross_floor_area,first_area_type,year_built,metered_area_energy,metered_area_water,eui_kbtu_sf,steam_kbtu,natural_gas_kbtu,electricity_kbtu,total_ghg_mmco2e,direct_ghg_mmco2e,indirect_ghg_mmco2e,water_kgal,wui_gal_sf,year,occupancy,street_number,street_name
1022420005,,74338.0,Multifamily Housing,1937.0,Whole Building,Whole Building,101.8,,66816.9,913071.2,580.5,504.8,75.7,3122.1,41.66,2016,100.0,165,SEAMAN AVENUE       
1022420019,,127200.0,K-12 School,1925.0,Whole Building,Whole Building,66.5,,615060.7,1113474.0,503.2,410.8,92.3,845.3,8.24,2016,100.0,620,ISHAM STREET        
1022420037,,79440.0,Multifamily Housing,1937.0,Whole Building,Whole Building,93.5,,2646843.0,1519914.7,600.7,474.6,126.1,3103.7,33.49,2016,100.0,97,COOPER STREET       
1022430030,,83766.0,Multifamily Housing,1929.0,Whole Building,Whole Building,71.9,,,1364800.3,490.4,377.2,113.2,2761.9,30.81,2016,100.0,5009,BROADWAY            
1022430045,,80808.0,Multifamily Housing,1925.0,Whole Building,,73.8,,437000.1,859042.6,519.7,448.4,71.2,,,2016,100.0,10,PARK TERRACE EAST   
1022430090,,107106.0,Multifamily Housing,1924.0,Whole Building,Whole Building,58.8,,703890.9,1382372.8,504.9,390.2,114.6,7872.3,68.39,2016,100.0,221,SEAMAN AVENUE       
1022430210,,87400.0,Multifamily Housing,1939.0,Whole Building,Whole Building,68.4,,231164.6,1001074.3,447.2,364.2,83.0,2854.6,,2016,100.0,55,PARK TERRACE EAST   
1022430220,,87400.0,Multifamily Housing,1939.0,Whole Building,Whole Building,69.7,,237407.1,1108433.0,456.5,364.5,91.9,3923.1,44.89,2016,100.0,65,PARK TERRACE EAST   
1022430230,,87400.0,Multifamily Housing,1939.0,Whole Building,Whole Building,77.8,,228458.6,1056930.6,509.0,421.3,87.7,2968.8,,2016,100.0,75,PARK TERRACE EAST   
1022430236,,85740.0,Multifamily Housing,1939.0,Whole Building,Whole Building,79.1,,220000.0,1045217.5,507.5,420.9,86.7,3184.3,37.14,2016,100.0,70,PARK TERRACE WEST   
