bbl,street_number,street_name,first_area_type,year,year_built,gross_floor_area,eui_kbtu_sf,steam_kbtu_sf,natural_gas_kbtu_sf,electricity_kbtu_sf,total_ghg_mmco2e_sf,direct_ghg_mmco2e_sf,indirect_ghg_mmco2e_sf
1019730001,530,WEST 120 STREET,Residence Hall/Dormitory,2017,1950,1368870,,,,,0,0,0
1019730001,530,WEST 120 STREET,Office,2017,1950,1368870,,,,,0,0,0
1019730001,530,WEST 120 STREET,Residence Hall/Dormitory,2017,1950,1368870,,,,,0,0,0
1019730001,530,WEST 120 STREET,Office,2017,1950,1368870,,,,,0,0,0
1019730001,530,WEST 120 STREET,Office,2017,1950,1368870,,,,,0,0,0
1019730001,530,WEST 120 STREET,Office,2017,1950,1368870,,,,,0,0,0
1019730001,530,WEST 120 STREET,College/University,2017,2010,1368870,,,,,0,0,0
1019730001,530,WEST  120 STREET    ,College/University,2016,1950,1368870,0,,0,,0,0,0
1019900005,15,CLAREMONT AVENUE,Multifamily Housing,2017,1909,55960,0.1,,0.103645461,,0.000005361,0.000005361,0
1019900005,15,CLAREMONT AVENUE    ,Multifamily Housing,2016,1909,55960,0.1,,0.0804145818,,0.000003574,0.000003574,0
1019900029,39,CLAREMONT AVENUE,Residence Hall/Dormitory,2017,1920,74634,1.1,,0.9620280301,0.1302462685,0.000062974,5.09151325133317E-05,1.20588471742101E-05
1019900029,39,CLAREMONT AVENUE    ,Residence Hall/Dormitory,2016,1920,74634,4.6,,4.4188975534,0.132395423,0.0002451966,0.0002344776,0.000010719
1019900044,464,RIVERSIDE DRIVE,Residence Hall/Dormitory,2017,1924,50120,0.1,,0,0.1053830806,9.97605746209098E-06,0,9.97605746209098E-06
1019900044,464,RIVERSIDE DRIVE     ,Residence Hall/Dormitory,2016,1924,50120,0.1,,0,0.0821009577,5.98563447725459E-06,0,5.98563447725459E-06
1019900050,460,RIVERSIDE DRIVE,Residence Hall/Dormitory,2017,1924,50120,7.5,,6.7198723065,0.6928830806,0.0004209896,0.0003571429,6.38467677573823E-05
1019900050,460,RIVERSIDE DRIVE     ,Residence Hall/Dormitory,2016,1924,50120,3.7,,3.0007980846,0.6508798883,0.0002134876,0.0001596169,5.38707102952913E-05
1019900067,445,RIVERSIDE DRIVE,Residence Hall/Dormitory,2017,1932,55056,11.4,,11.9442022668,0,0.0006339,0.0006339,0
1019900067,445,RIVERSIDE DRIVE     ,Residence Hall/Dormitory,2016,1932,55056,0,,0,,0,0,0
1021240017,1132,ST NICHOLAS AVENUE,Office,2017,2004,286481,391.6,,198.3224032309,172.2391711841,0.0269682806,0.0109846726,0.015983608
1021240017,1132,ST NICHOLAS AVENUE  ,Office,2016,2004,286481,422.1,,207.7951392937,172.1511070542,0.0271159344,0.0128388968,0.0142773866
1021240025,0,,Office,2017,1998,,408.9,,,,,,
1021240025,40,AUDUBON AVENUE      ,Office,2016,1998,127236,385.5,,198.2165126222,240.7699935553,0.0323123959,0.0123447766,0.0199684052
1021240043,0,,Office,2017,1995,,545,,,,,,
1021380095,617,WEST 168 STREET,Office,2017,1914,93600,108.3,92.135857906,,20.8842831197,0.0080555556,0,0.0080555556
1021380095,617,WEST  168 STREET    ,Office,2016,1914,93600,136.1,122.2143173077,,19.7530630342,0.0097532051,0,0.0097532051
1021390017,0,,Office,2017,1928,,259.5,,,,,,
1021390051,1,HAVEN AVENUE,Office,2017,1976,230565,555.8,564.4521358402,0.1197059398,218.486371739,0.0577607182,6.50575759547199E-06,0.0577542125
1021390051,1,HAVEN AVENUE        ,Office,2016,1976,230565,576.3,586.1247643831,0.119888101,225.7222553293,0.0576440483,6.50575759547199E-06,0.0576379763
1021390210,52,HAVEN AVENUE,Office,2017,1929,136608,108.6,,39.8807251405,30.3675187398,0.0100125908,0.0071943078,0.002818283
1021390210,52,HAVEN AVENUE        ,Office,2016,1929,136608,101.3,,10.0363595104,29.8976428906,0.0096436519,0.0071642949,0.002479357
1021390219,78,HAVEN AVENUE,Office,2017,1973,807327,105.8,,8.0494681833,9.3545557129,0.0026181461,0.0017500963,0.0008680497
1021390219,78,HAVEN AVENUE        ,Office,2016,1973,807327,99.4,,0.4539533547,9.3596400219,0.0025278481,0.0017517066,0.0007762654
